feature,direction,threshold,selected_events,selected_positive,selected_negative,win_rate_pct,average_profit_usd,total_profit_usd,median_profit_usd,best_profit_usd,worst_profit_usd,precision,recall,false_positive_rate,training_cycle_start,training_cycle_end
market_score,HIGHER,83.43894736842105,350,0,350,0.0,-0.002448700000000003,-0.8570450000000011,-0.002085999999999975,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.390625,1,9
composite_market_score,HIGHER,76.18160368421051,338,0,338,0.0,-0.002547331360946748,-0.8609980000000008,-0.002087999999999977,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.37723214285714285,1,9
volume_score,HIGHER,87.35315789473684,325,0,325,0.0,-0.0026645938461538495,-0.8659930000000011,-0.0020850000000000018,-0.0004340000000000437,-0.01042900000000002,0.0,0.0,0.3627232142857143,1,9
maximum_component_score,HIGHER,90.83,349,0,349,0.0,-0.0025082951289398295,-0.8753950000000005,-0.0020449999999999618,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.38950892857142855,1,9
score_dispersion,LOWER,8.035313332762176,140,0,140,0.0,-0.006398042857142859,-0.8957260000000002,-0.0031920000000000264,-0.0004340000000000437,-0.026703000000000032,0.0,0.0,0.15625,1,9
minimum_component_score,HIGHER,11.252105263157894,179,0,179,0.0,-0.005130530726256982,-0.9183649999999998,-0.0025049999999999777,-0.0004340000000000437,-0.103881,0.0,0.0,0.19977678571428573,1,9
liquidity_score,HIGHER,85.84947368421051,384,0,384,0.0,-0.002519140625,-0.96735,-0.0020529999999999698,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.42857142857142855,1,9
composite_market_score,HIGHER,74.7155,385,0,385,0.0,-0.0026250077922077937,-1.0106280000000005,-0.0021029999999999643,-0.0004340000000000437,-0.008006999999999985,0.0,0.0,0.4296875,1,9
market_score,HIGHER,81.99736842105263,398,0,398,0.0,-0.00257432663316583,-1.0245820000000003,-0.0021005000000000034,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.44419642857142855,1,9
maximum_component_score,HIGHER,89.02,393,0,393,0.0,-0.0026553231552162862,-1.0435420000000004,-0.0020890000000000058,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.43861607142857145,1,9
pair_score,HIGHER,83.08157894736843,365,0,365,0.0,-0.002897739726027398,-1.0576750000000001,-0.0022579999999999805,-0.0004340000000000437,-0.008187999999999971,0.0,0.0,0.40736607142857145,1,9
intelligence_score,HIGHER,33.10111578947369,190,0,190,0.0,-0.005586031578947368,-1.061346,-0.002598000000000043,-0.0004340000000000437,-0.103881,0.0,0.0,0.21205357142857142,1,9
volume_score,HIGHER,85.31157894736842,375,0,375,0.0,-0.002844368000000003,-1.066638000000001,-0.0021139999999999475,-0.0004340000000000437,-0.011977000000000014,0.0,0.0,0.4185267857142857,1,9
minimum_component_score,HIGHER,7.931052631578948,191,0,191,0.0,-0.0056383193717277486,-1.076919,-0.0026270000000000442,-0.0004340000000000437,-0.103881,0.0,0.0,0.21316964285714285,1,9
liquidity_score,HIGHER,83.34842105263158,431,0,431,0.0,-0.0026320974477958233,-1.134434,-0.0020980000000000425,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.4810267857142857,1,9
market_score,HIGHER,79.71368421052631,448,0,448,0.0,-0.002537167410714285,-1.1366509999999996,-0.002085999999999975,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.5,1,9
pair_score,HIGHER,81.54157894736842,382,0,382,0.0,-0.003007492146596859,-1.148862,-0.0022709999999999658,-0.0004340000000000437,-0.019782999999999995,0.0,0.0,0.4263392857142857,1,9
composite_market_score,HIGHER,73.5633947368421,431,0,431,0.0,-0.002717589327146173,-1.1712810000000005,-0.002164000000000053,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.4810267857142857,1,9
maximum_component_score,HIGHER,87.65,436,0,436,0.0,-0.0026968394495412856,-1.1758220000000006,-0.0020980000000000425,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.48660714285714285,1,9
pair_score,HIGHER,79.13736842105263,401,0,401,0.0,-0.0030626807980049875,-1.228135,-0.0022830000000000333,-0.0004340000000000437,-0.019782999999999995,0.0,0.0,0.44754464285714285,1,9
volume_score,HIGHER,83.27736842105264,426,0,426,0.0,-0.002896528169014087,-1.233921000000001,-0.0021550000000000163,-0.0004340000000000437,-0.011977000000000014,0.0,0.0,0.47544642857142855,1,9
composite_market_score,HIGHER,71.33546842105264,478,0,478,0.0,-0.002696836820083682,-1.289088,-0.0021499999999999835,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.5334821428571429,1,9
market_score,HIGHER,77.12526315789472,492,0,492,0.0,-0.002663424796747967,-1.3104049999999996,-0.0021325000000000354,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.5491071428571429,1,9
pair_score,HIGHER,77.23526315789474,433,0,433,0.0,-0.0031298429561200927,-1.3552220000000001,-0.0022990000000000493,-0.0004340000000000437,-0.019782999999999995,0.0,0.0,0.48325892857142855,1,9
liquidity_score,HIGHER,80.41842105263159,481,0,481,0.0,-0.002826286902286901,-1.3594439999999994,-0.0021609999999999668,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5368303571428571,1,9
maximum_component_score,HIGHER,86.15,485,0,485,0.0,-0.0028320948453608255,-1.3735660000000003,-0.0021489999999999548,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.5412946428571429,1,9
score_dispersion,LOWER,10.705523041785716,187,1,186,0.53475935828877,-0.007410379679144388,-1.3857410000000006,-0.0040569999999999756,0.025919000000000025,-0.04163499999999998,0.0053475935828877,1.0,0.20758928571428573,1,9
volume_score,HIGHER,80.38894736842104,477,0,477,0.0,-0.002977027253668765,-1.420042000000001,-0.0021710000000000323,-0.0004340000000000437,-0.01704300000000003,0.0,0.0,0.5323660714285714,1,9
composite_market_score,HIGHER,69.3143947368421,524,0,524,0.0,-0.0027265591603053427,-1.4287169999999996,-0.00216250000000001,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.5848214285714286,1,9
pair_score,HIGHER,75.47526315789473,453,0,453,0.0,-0.003217291390728476,-1.4574329999999998,-0.0023210000000000158,-0.0004340000000000437,-0.019782999999999995,0.0,0.0,0.5055803571428571,1,9
market_score,HIGHER,75.49315789473684,538,0,538,0.0,-0.0028118959107806684,-1.5127999999999995,-0.0021710000000000323,-0.0004340000000000437,-0.01042900000000002,0.0,0.0,0.6004464285714286,1,9
